CODIGO_TRAMO_LINEA_BT,Bus1,Bus2,Phases,Linecode,Length,,
ESE001TBT012685,19,20,3,NYY-3x25 mm²,25.1439,,New Line.ESE001TBT012685 Bus1=19 Bus2=20 phases=3 Linecode=NYY-3x25 mm² Length=25.14394974 Units=m
ESE001TBT013827,18,19,3,AUT_AL-3x120 mm²,153.4075,,New Line.ESE001TBT013827 Bus1=18 Bus2=19 phases=3 Linecode=AUT_AL-3x120 mm² Length=153.4074583 Units=m
ESE001TBT012685,17,18,3,NYY-3x25 mm²,25.1439,,New Line.ESE001TBT012685 Bus1=17 Bus2=18 phases=3 Linecode=NYY-3x25 mm² Length=25.14394974 Units=m
ESE001TBT013827,16,17,3,AUT_AL-3x120 mm²,153.4075,,New Line.ESE001TBT013827 Bus1=16 Bus2=17 phases=3 Linecode=AUT_AL-3x120 mm² Length=153.4074583 Units=m
ESE001TBT002586,15,16,3,N2XY-3x25 mm²,46.1506,,New Line.ESE001TBT002586 Bus1=15 Bus2=16 phases=3 Linecode=N2XY-3x25 mm² Length=46.15064213 Units=m
ESE001TBT013827,14,15,3,AUT_AL-3x120 mm²,153.4075,,New Line.ESE001TBT013827 Bus1=14 Bus2=15 phases=3 Linecode=AUT_AL-3x120 mm² Length=153.4074583 Units=m
ESE001TBT006206,13,14,3,CPI-3x35 mm²,97.6155,,New Line.ESE001TBT006206 Bus1=13 Bus2=14 phases=3 Linecode=CPI-3x35 mm² Length=97.61545809 Units=m
ESE001TBT001185,12,13,3,NYY-3x35 mm²,167.0291,,New Line.ESE001TBT001185 Bus1=12 Bus2=13 phases=3 Linecode=NYY-3x35 mm² Length=167.0291081 Units=m
ESE001TBT001185,11,12,3,NYY-3x35 mm²,167.0291,,New Line.ESE001TBT001185 Bus1=11 Bus2=12 phases=3 Linecode=NYY-3x35 mm² Length=167.0291081 Units=m
ESE001TBT001185,10,11,3,NYY-3x35 mm²,167.0291,,New Line.ESE001TBT001185 Bus1=10 Bus2=11 phases=3 Linecode=NYY-3x35 mm² Length=167.0291081 Units=m
ESE001TBT001185,9,10,3,NYY-3x35 mm²,167.0291,,New Line.ESE001TBT001185 Bus1=9 Bus2=10 phases=3 Linecode=NYY-3x35 mm² Length=167.0291081 Units=m
ESE001TBT006206,8,9,3,CPI-3x35 mm²,97.6155,,New Line.ESE001TBT006206 Bus1=8 Bus2=9 phases=3 Linecode=CPI-3x35 mm² Length=97.61545809 Units=m
ESE001TBT001185,7,8,3,NYY-3x35 mm²,167.0291,,New Line.ESE001TBT001185 Bus1=7 Bus2=8 phases=3 Linecode=NYY-3x35 mm² Length=167.0291081 Units=m
ESE001TBT006206,6,7,3,CPI-3x35 mm²,97.6155,,New Line.ESE001TBT006206 Bus1=6 Bus2=7 phases=3 Linecode=CPI-3x35 mm² Length=97.61545809 Units=m
ESE001TBT001185,5,6,3,NYY-3x35 mm²,167.0291,,New Line.ESE001TBT001185 Bus1=5 Bus2=6 phases=3 Linecode=NYY-3x35 mm² Length=167.0291081 Units=m
ESE001TBT006206,4,5,3,CPI-3x35 mm²,97.6155,,New Line.ESE001TBT006206 Bus1=4 Bus2=5 phases=3 Linecode=CPI-3x35 mm² Length=97.61545809 Units=m
ESE001TBT006206,3,4,3,CPI-3x35 mm²,97.6155,,New Line.ESE001TBT006206 Bus1=3 Bus2=4 phases=3 Linecode=CPI-3x35 mm² Length=97.61545809 Units=m
ESE001TBT001185,2,3,3,NYY-3x35 mm²,167.0291,,New Line.ESE001TBT001185 Bus1=2 Bus2=3 phases=3 Linecode=NYY-3x35 mm² Length=167.0291081 Units=m
ESE001TBT004087,1,2,3,NYY-3x50 mm²,17.4749,,New Line.ESE001TBT004087 Bus1=1 Bus2=2 phases=3 Linecode=NYY-3x50 mm² Length=17.4749198 Units=m
ESE001TBT004090,1,100,3,NYY-3x50 mm²,32.0195,,New Line.ESE001TBT004090 Bus1=1 Bus2=100 phases=3 Linecode=NYY-3x50 mm² Length=32.01950085 Units=m
ESE001TBT001186,100,101,3,NYY-3x35 mm²,141.0524,,New Line.ESE001TBT001186 Bus1=100 Bus2=101 phases=3 Linecode=NYY-3x35 mm² Length=141.0524052 Units=m
ESE001TBT001186,101,102,3,NYY-3x35 mm²,141.0524,,New Line.ESE001TBT001186 Bus1=101 Bus2=102 phases=3 Linecode=NYY-3x35 mm² Length=141.0524052 Units=m
ESE001TBT001186,102,103,3,NYY-3x35 mm²,141.0524,,New Line.ESE001TBT001186 Bus1=102 Bus2=103 phases=3 Linecode=NYY-3x35 mm² Length=141.0524052 Units=m
ESE001TBT001186,103,104,3,NYY-3x35 mm²,141.0524,,New Line.ESE001TBT001186 Bus1=103 Bus2=104 phases=3 Linecode=NYY-3x35 mm² Length=141.0524052 Units=m
ESE001TBT046547,104,105,3,AUT_AL-3x25 mm²,27.4395,,New Line.ESE001TBT046547 Bus1=104 Bus2=105 phases=3 Linecode=AUT_AL-3x25 mm² Length=27.43951489 Units=m
ESE001TBT001186,105,106,3,NYY-3x35 mm²,141.0524,,New Line.ESE001TBT001186 Bus1=105 Bus2=106 phases=3 Linecode=NYY-3x35 mm² Length=141.0524052 Units=m
ESE001TBT046547,106,107,3,AUT_AL-3x25 mm²,27.4395,,New Line.ESE001TBT046547 Bus1=106 Bus2=107 phases=3 Linecode=AUT_AL-3x25 mm² Length=27.43951489 Units=m
ESE001TBT002582,107,108,3,CPI-3x25 mm²,114.0644,,New Line.ESE001TBT002582 Bus1=107 Bus2=108 phases=3 Linecode=CPI-3x25 mm² Length=114.0644137 Units=m
ESE001TBT002582,108,109,3,CPI-3x25 mm²,114.0644,,New Line.ESE001TBT002582 Bus1=108 Bus2=109 phases=3 Linecode=CPI-3x25 mm² Length=114.0644137 Units=m
ESE001TBT002582,109,110,3,CPI-3x25 mm²,114.0644,,New Line.ESE001TBT002582 Bus1=109 Bus2=110 phases=3 Linecode=CPI-3x25 mm² Length=114.0644137 Units=m
ESE001TBT001186,110,111,3,NYY-3x35 mm²,141.0524,,New Line.ESE001TBT001186 Bus1=110 Bus2=111 phases=3 Linecode=NYY-3x35 mm² Length=141.0524052 Units=m
ESE001TBT004083,111,111,3,CPI-3x25 mm²,25.1331,,New Line.ESE001TBT004083 Bus1=111 Bus2=111 phases=3 Linecode=CPI-3x25 mm² Length=25.13310463 Units=m
